Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Unnamed: 61
Dominican Republic,DOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.017233601,0.074987053,0.142687565,0.233914189,1.104743874,3.7046923560000002,4.429390697,6.823725733,7.898392937000001,8.865553461000001,11.48319778,14.84492837,17.66,20.82,27.72,31.4,38.0,42.32,45.9,49.58,54.21576634,61.32819041,
Algeria,DZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.000360674,0.0017689539999999999,0.0017385329999999998,0.010268463,0.020238555,0.199523843,0.491705679,0.646114017,1.59164126,2.195359731,4.634475088,5.843942092000001,7.375984956,9.451190626,10.18,11.23,12.5,14.9,18.2,22.5,29.5,38.2,42.94552688,
East Asia & Pacific (excluding high income),EAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.00116240390457773,0.0040327946209939205,0.013044957073088002,0.0337092235897055,0.0942622163556517,0.32417675120237605,0.8533515967717091,1.89711573714638,2.7790903207406803,4.40499029956146,5.762101638384861,6.8852653928599405,8.31914345113676,10.173972404693698,14.3826941837589,19.260137883981198,23.7692424795223,28.9575716226662,32.385761192165,36.0683494482816,39.7089333070242,42.062233673822796,45.210102630003206,48.3866206866568,
Early-demographic dividend,EAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000245348288310992,,,,0.0150194646160513,0.0454400074257125,0.0806408421881191,0.16349928665702199,0.344094257042961,0.6131099855649879,1.23885886441976,1.6946738713548797,2.84786780383334,3.41689711537773,4.21715139559982,4.89542836735158,5.783498058985,7.34926115343191,8.51581029205518,9.714252577274632,12.8497121976811,15.477513080657802,18.1240290492809,20.9539718191445,25.4777233790344,30.1865527604951,33.436065856782605,
East Asia & Pacific,EAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007288276366132379,,,0.0792779216331958,0.11738210036914501,0.20957789757662698,0.46473374052892796,1.0798503563912198,1.8827873526446999,3.40640827418481,5.59267987619975,7.25216610885268,8.99358781820125,10.547243645707901,12.596964208773699,14.6663590411098,16.6178275669865,20.7665234457067,25.2535662134479,29.513197608660803,34.2308383100865,37.365155967458,40.709345490799606,44.577349432458604,46.812103208352006,49.7879236470475,52.7963207892303,
Europe & Central Asia (excluding high income),ECA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0105241102123661,0.0407925974884634,0.0942542514088437,0.19686860160620898,0.378006266692866,0.7075762435918221,1.1420240518140299,2.02351500980652,2.97725410402823,5.15537298470128,7.48384545516359,10.9761769765591,12.711557317523699,15.270499280988199,20.621899794496898,24.1292484232203,27.7395545087855,35.884480701960605,40.7872027807421,48.7039417205927,52.870309015374204,56.9014198917902,60.2640560125954,63.672749849472396,
Europe & Central Asia,ECS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0481163868746305,,0.26259039033284803,0.31777316148076,0.5648669499876071,1.02401254155792,1.8429124462075799,3.3603483535122103,5.43592191216688,9.24401995765593,13.1841466737921,16.405569321507002,23.057519317659196,28.3633742254841,32.3590858652093,35.2269322280585,38.0834867000107,43.6743815037404,47.35904473065129,50.5660384154691,56.1191173283575,58.834630390890005,63.486253443122905,66.306668615053,68.9443512173395,71.16200266705029,73.9147507289322,
Ecuador,ECU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.005118035,0.016400751,0.034833586,0.043833641,0.086161276,0.110217959,0.125272771,0.823371634,1.462188536,2.670443674,4.260796915,4.460228345,4.8344426380000005,5.994255161,7.2,10.8,18.8,24.6,29.03,31.36680836,35.13514645,40.27912194,45.59039067,48.94043379,54.06292473,
"Egypt, Arab Rep.",EGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.000975791,0.00638327,0.031319638,0.061466899000000005,0.090480245,0.147987377,0.29044527800000003,0.641265038,0.838945611,2.719999715,4.037885107,11.92,12.75,13.66,16.03,18.01,20.0,21.6,25.6,26.4,29.4,33.89460391,37.81938343,39.21381268,
Euro area,EMU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0728005517324699,0.16973970365338098,0.326614548171711,0.469641300685022,0.848076676487896,1.70297472423692,2.8829474496822596,5.109878060041651,8.01717122658864,15.2404512234562,22.524339350029898,27.351403053830104,35.1914655201503,42.0964231941086,47.484585952429,51.260509137886,54.936500794265,61.383049668314705,64.8436095190836,67.1298299480528,71.0367223917875,72.0011635086995,74.0921361934431,75.8215600952257,77.0023222916101,78.6663456723052,80.44672593081991,
